file_name	whisper_transcription	expected_transcription	word_error_rate	cosine_similarity
common_voice_en_37027968.mp3	Charles Curtis functioned as Trotsky's primary link with the Mexican Trotskyists.	Charles Curtiss functioned as Trotsky's primary link with the Mexican Trotskyists.	0.09090909090909091	0.7696335315704346
common_voice_en_37027970.mp3	One was the bombing of Japanese industrial centers in the Doolittle raid.	One was the bombing of Japanese industrial centres in the Doolittle Raid.	0.16666666666666666	0.9842379689216614
common_voice_en_37027981.mp3	A third factor affecting imports was trade liberalization.	A third factor affecting imports was trade liberalization.	0.0	1.0000001192092896
common_voice_en_37027982.mp3	The site is on a hillside and is accessed via rock cut steps.	The site is on a hillside, and is accessed via rock cut steps.	0.07692307692307693	0.9982803463935852
common_voice_en_37027983.mp3	According to New Jersey law, they were free.	According to New Jersey law, they were free.	0.0	1.0
common_voice_en_37027990.mp3	If not powered properly, only a blue screen will be displayed.	If not powered properly, only a blue screen will be displayed.	0.0	1.0000001192092896
common_voice_en_37028857.mp3	The church said Sony did not obtain permission to use the interior.	The Church said Sony did not obtain permission to use the interior.	0.08333333333333333	1.0
common_voice_en_37029922.mp3	He grew up in Hermosa Beach, California.	He grew up in Hermosa Beach, California.	0.0	1.0000001192092896
common_voice_en_37029923.mp3	The town's present name honors W. A. Crooks, a local politician.	The town's present name honors W. A. Crooks, a local politician.	0.0	1.0000001192092896
common_voice_en_37029924.mp3	The title was awarded upon proposal of the government.	The title was awarded upon proposal of the government.	0.0	1.0
common_voice_en_37029932.mp3	Long narrow lakes are found throughout the valleys of the southern and central interior.	Long, narrow lakes are found throughout the valleys of the Southern and Central Interior.	0.2857142857142857	0.9964249134063721
common_voice_en_37029935.mp3	Across from the picnic area is the Golden State Model Railroad Museum.	Across from the picnic area is the Golden State Model Railroad Museum.	0.0	1.0
common_voice_en_37029936.mp3	Together, they had two children and one stepchild.	Together they had two children and one step child.	0.3333333333333333	0.980841338634491
common_voice_en_37030028.mp3	The title row was sung by Daniel Beretta and Maria Magdalena. It was Anne Marie David.	The title role was sung by Daniel Beretta, and Maria Magdalena was Anne-Marie David.	0.42857142857142855	0.8276774287223816
common_voice_en_37030569.mp3	Bus services are operated by Stagecoach, with dial bus services being operated by Aberdeenshire Council.	Bus services are operated by Stagecoach with dialabus services being operated by Aberdeenshire Council.	0.21428571428571427	0.9534257054328918
common_voice_en_37030571.mp3	Each winter found her with the fleet in Cuban waters for maneuvers.	Each winter found her with the fleet in Cuban waters for maneuvers.	0.0	1.0000001192092896
common_voice_en_37030655.mp3	the parliament is made up of three main bodies	The Parliament is made up of three main bodies.	0.3333333333333333	0.9938518404960632
common_voice_en_37030662.mp3	There are also two full trains, two at peak hours on weekday mornings.	There are also two through trains to at peak hours on weekday mornings.	0.23076923076923078	0.9331526756286621
common_voice_en_37030673.mp3	The circulation gangs were disbanded.	The circulation gangs were disbanded.	0.0	1.0000001192092896
common_voice_en_37030678.mp3	Club Iona is nearly worldwide in distribution.	Clubiona is nearly worldwide in distribution.	0.3333333333333333	0.6563535332679749
common_voice_en_37030679.mp3	Yamashita has two sons.	Yamashita has two sons.	0.0	1.0
common_voice_en_37030686.mp3	Both of Newman's children are pursuing acting careers.	Both of Newman's children are pursuing acting careers.	0.0	1.0000001192092896
common_voice_en_37030689.mp3	Amotos both joined Honda for its participation in the Formula One races.	A motorsports fan, he joined Honda for its participation in the Formula One races.	0.2857142857142857	0.6858326196670532
common_voice_en_37030696.mp3	Ficarra have competed on the unified team in Barcelona.	Chikarev had competed on the Unified Team in Barcelona.	0.4444444444444444	0.6226038336753845
common_voice_en_37030698.mp3	It is a suburb of Cincinnati.	It is a suburb of Cincinnati.	0.0	1.0000001192092896
common_voice_en_37030699.mp3	By minting new and better quality currency inflation was controlled.	By minting new and better quality currency, inflation was controlled.	0.1	0.9793087244033813
common_voice_en_37030716.mp3	Krause had written her first collection of songs before the age of 12.	Kraus had written her first collection of songs before the age of twelve.	0.15384615384615385	0.9653263092041016
common_voice_en_37030719.mp3	They are still performing today.	They are still performing today.	0.0	1.0000001192092896
common_voice_en_37030721.mp3	It is serviced by the Rhode Island Ave Brandwood Metro Station.	It is serviced by the Rhode Island Ave-Brentwood Metro station.	0.3	0.9358103275299072
common_voice_en_37030722.mp3	Stop failing to fulfill your duty.	Stop failing to fulfill your duty.	0.0	1.0
common_voice_en_37030730.mp3	He's broared in Westminster Abbey with a monument by William Banner's.	He is buried in Westminster Abbey with a monument by William Behnes.	0.3333333333333333	0.621414065361023
common_voice_en_37030741.mp3	Slashes indicate fixed combinations of single phrases.	Slashes indicate fixed combinations of single phrases.	0.0	1.000000238418579
common_voice_en_37030752.mp3	Notable resident of Lemma.	Notable resident of Lemmer.	0.25	0.6491637229919434
common_voice_en_37030759.mp3	And the people who knocked these buildings down will hear all of us soon.	And the people who knocked these buildings down will hear all of us soon!	0.07142857142857142	0.9814302921295166
common_voice_en_37030769.mp3	because water molecules are polar, hydrofols do not dissolve well among them.	Because water molecules are polar, hydrophobes do not dissolve well among them.	0.16666666666666666	0.8585216999053955
common_voice_en_37030772.mp3	The user can then navigate the files regardless of file structure.	The user can then navigate the files regardless of file structure.	0.0	1.0
common_voice_en_37030775.mp3	Being underage for army service he was discharged when his real age was discovered.	Being underage for army service, he was discharged when his real age was discovered.	0.07142857142857142	0.9965024590492249
common_voice_en_37030779.mp3	The last play I left alive wins.	The last player left alive wins.	0.3333333333333333	0.7294191122055054
common_voice_en_37030780.mp3	It takes the form of a services and configuration microkernel.	It takes the form of a services and configuration microkernel.	0.0	1.0000001192092896
common_voice_en_37030782.mp3	Inferential role semantics is sometimes contrasted to truth conditional semantics.	Inferential role semantics is sometimes contrasted to truth-conditional semantics.	0.2222222222222222	0.9978715777397156
common_voice_en_37030785.mp3	What will they be?	What will they be?	0.0	1.0000001192092896
common_voice_en_37030789.mp3	All these festivals and organizations are sponsored by private enterprise.	All these festivals and organisations are sponsored by private enterprise.	0.1	0.9857539534568787
common_voice_en_37030792.mp3	What's that downstairs?	What's that downstairs?	0.0	1.0000001192092896
