CLIP,SENTIMENT,SCORE
common_voice_en_37027968.mp3,neutral,0.9240081310272217
common_voice_en_37027970.mp3,negative,0.7214757204055786
common_voice_en_37027981.mp3,neutral,0.8645182251930237
common_voice_en_37027982.mp3,neutral,0.9347903728485107
common_voice_en_37027983.mp3,neutral,0.88276606798172
common_voice_en_37027990.mp3,negative,0.804383397102356
common_voice_en_37028857.mp3,neutral,0.7313042879104614
common_voice_en_37029922.mp3,neutral,0.9054067730903625
common_voice_en_37029923.mp3,neutral,0.8924015164375305
common_voice_en_37029924.mp3,neutral,0.91791832447052
common_voice_en_37029932.mp3,neutral,0.9170700907707214
common_voice_en_37029935.mp3,neutral,0.8135733008384705
common_voice_en_37029936.mp3,neutral,0.919171154499054
common_voice_en_37030028.mp3,neutral,0.9333696961402893
common_voice_en_37030569.mp3,neutral,0.9417521953582764
common_voice_en_37030571.mp3,neutral,0.9264130592346191
common_voice_en_37030655.mp3,neutral,0.9045376777648926
common_voice_en_37030662.mp3,neutral,0.9095445871353149
common_voice_en_37030673.mp3,neutral,0.8039313554763794
common_voice_en_37030678.mp3,neutral,0.7027891874313354
common_voice_en_37030679.mp3,neutral,0.9070398211479187
common_voice_en_37030686.mp3,neutral,0.8318542838096619
common_voice_en_37030689.mp3,neutral,0.8564527034759521
common_voice_en_37030696.mp3,neutral,0.9277559518814087
common_voice_en_37030698.mp3,neutral,0.9271125793457031
common_voice_en_37030699.mp3,neutral,0.677996814250946
common_voice_en_37030716.mp3,neutral,0.9230650067329407
common_voice_en_37030719.mp3,neutral,0.7857845425605774
common_voice_en_37030721.mp3,neutral,0.9527623057365417
common_voice_en_37030722.mp3,negative,0.8200258016586304
common_voice_en_37030730.mp3,neutral,0.8796557784080505
common_voice_en_37030741.mp3,neutral,0.6708013415336609
common_voice_en_37030752.mp3,neutral,0.808475136756897
common_voice_en_37030759.mp3,negative,0.794193685054779
common_voice_en_37030769.mp3,negative,0.5158228874206543
common_voice_en_37030772.mp3,neutral,0.8702341318130493
common_voice_en_37030775.mp3,neutral,0.8824270367622375
common_voice_en_37030779.mp3,positive,0.5206180214881897
common_voice_en_37030780.mp3,neutral,0.9045833945274353
common_voice_en_37030782.mp3,neutral,0.8018649220466614
common_voice_en_37030785.mp3,neutral,0.8750395774841309
common_voice_en_37030789.mp3,neutral,0.5016306042671204
common_voice_en_37030792.mp3,neutral,0.8839237689971924
common_voice_en_37032226.mp3,neutral,0.7309633493423462
common_voice_en_37032229.mp3,neutral,0.8412389755249023
common_voice_en_37034022.mp3,neutral,0.9203598499298096
common_voice_en_37034152.mp3,neutral,0.9200648069381714
common_voice_en_37034341.mp3,neutral,0.5142194628715515
common_voice_en_37034342.mp3,neutral,0.6501730680465698
common_voice_en_37035420.mp3,neutral,0.9267656207084656
common_voice_en_37037177.mp3,neutral,0.8928240537643433
common_voice_en_37037383.mp3,neutral,0.9157850742340088
common_voice_en_37037387.mp3,positive,0.727448582649231
common_voice_en_37038140.mp3,neutral,0.6340367197990417
common_voice_en_37038144.mp3,neutral,0.6973892450332642
common_voice_en_37038148.mp3,neutral,0.7372198700904846
common_voice_en_37038149.mp3,neutral,0.8195503950119019
common_voice_en_37038151.mp3,neutral,0.8758765459060669
common_voice_en_37038153.mp3,neutral,0.8441731929779053
common_voice_en_37038157.mp3,neutral,0.8230445384979248
common_voice_en_37038161.mp3,neutral,0.901699423789978
common_voice_en_37038162.mp3,negative,0.7687538862228394
common_voice_en_37038163.mp3,neutral,0.9334059357643127
common_voice_en_37038169.mp3,negative,0.8966166973114014
common_voice_en_37038171.mp3,negative,0.5094096064567566
common_voice_en_37038172.mp3,neutral,0.9416866898536682
common_voice_en_37038173.mp3,neutral,0.8716769814491272
common_voice_en_37038180.mp3,neutral,0.8567156195640564
common_voice_en_37038181.mp3,neutral,0.9457859992980957
common_voice_en_37038183.mp3,neutral,0.9514693021774292
common_voice_en_37038188.mp3,neutral,0.9324111938476562
common_voice_en_37038189.mp3,neutral,0.5750804543495178
common_voice_en_37038195.mp3,negative,0.7081141471862793
common_voice_en_37038198.mp3,neutral,0.8012188076972961
common_voice_en_37038203.mp3,neutral,0.9423330426216125
common_voice_en_37038204.mp3,neutral,0.9493588805198669
common_voice_en_37038207.mp3,neutral,0.8712725639343262
common_voice_en_37038209.mp3,neutral,0.9444596171379089
common_voice_en_37039978.mp3,neutral,0.8368334770202637
common_voice_en_37040010.mp3,neutral,0.5421975255012512
common_voice_en_37040042.mp3,neutral,0.9069141745567322
common_voice_en_37040102.mp3,neutral,0.8795989751815796
common_voice_en_37040119.mp3,neutral,0.5156639218330383
common_voice_en_37040270.mp3,neutral,0.5025181174278259
common_voice_en_37040274.mp3,neutral,0.913975715637207
common_voice_en_37040293.mp3,neutral,0.7678709030151367
common_voice_en_37040301.mp3,positive,0.6737551093101501
common_voice_en_37040302.mp3,neutral,0.9087713956832886
common_voice_en_37040303.mp3,negative,0.5138221383094788
common_voice_en_37040304.mp3,neutral,0.7529798150062561
common_voice_en_37040306.mp3,positive,0.866276741027832
common_voice_en_37040311.mp3,neutral,0.7738736271858215
common_voice_en_37045956.mp3,negative,0.9360074996948242
common_voice_en_37045972.mp3,positive,0.7442772388458252
common_voice_en_37046553.mp3,neutral,0.5973482728004456
common_voice_en_37046554.mp3,neutral,0.902348518371582
common_voice_en_37046653.mp3,negative,0.6338537931442261
common_voice_en_37046664.mp3,neutral,0.5642649531364441
common_voice_en_37046818.mp3,neutral,0.9517993927001953
common_voice_en_37046820.mp3,neutral,0.9105175137519836
