client_id	path	sentence	up_votes	down_votes	age	gender	accents	variant	locale	segment
069108dd8624bd2f7a4faa4a9bdd35157d76fea866d16b0ce35743c83674a669d57d685c81a86ab6f99f9ba00681cedaa2bf8ff5f3afd8bc2335b047d06f183f	common_voice_en_37052414.mp3	Latter Day Saint denominations disagree as to the impact and meaning of these ceremonies.	2	1	teens	male			en	
1ee465e99f453ac7b20193d2cb28986bf0d553b2ca6789f25fd2d510c3acdc5f73ea34c56627578c6a0a366e80710d183811abf8498539cf001d090bf8fe199a	common_voice_en_37251984.mp3	The German population was either evacuated or expelled and replaced with Russians.	2	0	fourties	female	United States English		en	
2432927a3acd24b583f0f759819eb4e1b7150bf681b9385c26d0f36d14031ca1f7e8e76bfb5e217d7e7be940bb9aff98906b51bf2949ac1cfc5ca7c113f74794	common_voice_en_37028857.mp3	The Church said Sony did not obtain permission to use the interior.	2	0	sixties	female	United States English		en	
2baed572065c5ce381c1d5b26e67a85182b9a022072e66238b82d752154342ef2c754dd9dbe91848f1537aa8c278b6d06b367306fc6e9226364a9c6b5fd45904	common_voice_en_37153340.mp3	The most updated Senate version however allows Native Hawaiians to pursue claims in court.	2	1	fourties	male			en	
40ef4ce237bab10c1a1be431df0ae5d39504963073290b5ddd0b2ffe6c8c95cdabf4cc3dbb2b6387d968d3f80a9bbcff94651faf74520e1e6f0ec2cda69f80dc	common_voice_en_37073530.mp3	Sayonara Award	2	0	fourties	female	England English		en	
4582efb57158aaa19057872880746e2b5b3a733d4886fb9e8b6b2d0c81973d0147cc241aabb8c45b1cca8a7dcc4618737b4c3984bcfc478044f0ee5c9e98db28	common_voice_en_37124212.mp3	The Lebanese army was in full control Beirut since the Israeli withdrawal.	2	0	thirties	male			en	
49518b0d6dc530fcb03351c761b8b69aba18a29400ec4510ccfc214f1905114cc6fb992128c51bbba73e54db9cb9e534446ebc5f27748ea922d1913e0635ac2e	common_voice_en_37184403.mp3	"Backstage Assault" is vastly different from other games of its genre.	3	0	fourties	male	United States English		en	
5752ae17b22b15ae835d25e0f8aa45dcad3a85f36b840531cda699e2cbba87ae7fb65079ffe76b67a6e3d36ea45fec955d0d58516a454b4aded5dac62d0acbdc	common_voice_en_37265606.mp3	While he was performing, the rope broke, which led to the scaffolding collapsing.	2	0	twenties	male	India and South Asia (India, Pakistan, Sri Lanka)		en	
8991f68f62fd94d348c96e6502bc4f62e24dc2f72a9f40b206acf48c1959f3dd1aba0f083dce6ab1239cba1f5b20b7d200df5d38b44ddf7e0d209cf14dca7294	common_voice_en_37255991.mp3	‘Is there anybody in the kitchen?’ Not a soul.	2	0	twenties	male			en	
a099efdbd95d0a29a9796009d48122786762afe4311356a682f4d7c221c545c3d5e39cb787933016d79d23ac03a5a100b661f7eb6dc8ada7b17399bc08ecbf84	common_voice_en_37227135.mp3	The resulting proof gives an optimal strategy for every possible position on the board.	2	0	thirties	male			en	
a98b3d2221f5da827b9e70c0a2a5d8f3a6afd4cbc26def21873aeb35a95f1bb7a80b3e88f6b37181332f9e4522157e404931e55cad1339bacddf6bbad00a3e74	common_voice_en_37110389.mp3	The story is set in Viking Age Iceland.	3	0	teens	male	Northeast US,United States English		en	
ca8467669c72f9ae4832aaa0679e69049e7af3fb84c2063ff4f897e1a531abbf61211293d5d45efcab175594626a81244e16df92a7f167bc4bf70317addc0e6f	common_voice_en_37262842.mp3	He was also involved in Canadian International Development Agency programs to develop fisheries abroard.	2	0	thirties	male	United States English		en	
cfcceeb236c95b381f274d1a4375ad2ad3cc54129cb70f98644659cb912b089cf33289480a82f0696a4f6cf0d2a64572f21f65a1e98f4085a5682fed86b44cb0	common_voice_en_37234911.mp3	Related techniques that also give these zero-drift advantages are auto-zero and chopper-stabilized amplifiers.	2	0	twenties	male			en	
e315d6a0031a9543a498a5dc7388a5756cc1e0fb2545b1791a604513673f513f77c8d4dfabe82fe3a2056531f621d3392aaa380c6216932f5e0debd676739b74	common_voice_en_37238327.mp3	The practical application of this idea arises in the Williams-Landel-Ferry equation.	2	0	fourties	male			en	
e877615b20dcfc0806bb5f9f413162aa02402cde39bf8b0e9e2737ee32c92a80dad62f9ad4ec7d8b99ebe7c58f3c21a98e28555f1912bbbbd04f333a1f76af45	common_voice_en_37209756.mp3	"Bisexual" doesn't really seem to fit me, and "lesbian" doesn't really fit.	4	0	twenties	male	United States English		en	
f634963107792390248759e11382577588087e949487eea167c36747dc74d6c1a876563158e2c36840bac3232f911edfd4f655b9f94e5fb785f8620852cc6693	common_voice_en_37148438.mp3	There is no charge for this service.	2	0	fourties	male			en	
